covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
150.0,742102,5010.0,505
142.0,742563,4639.0,461
137.0,743038,4489.0,475
134.0,743459,4365.0,421
134.0,743901,4197.0,442
127.0,744283,4013.0,382
124.0,744711,4018.0,428
121.0,745176,4091.0,465
119.0,745678,4036.0,502
123.0,746158,3800.0,480
126.0,746570,3841.0,412
125.0,746974,3849.0,404
111.0,747417,3835.0,443
113.0,747948,3965.0,531
120.0,748554,4126.0,606
116.0,749131,4108.0,577
124.0,749795,4096.0,664
127.0,750422,4082.0,627
117.0,751011,4262.0,589
125.0,751594,4257.0,583
126.0,752253,4408.0,659
128.0,752975,4602.0,722
130.0,753738,4722.0,763
132.0,754580,4843.0,842
130.0,755402,5008.0,822
120.0,756231,5037.0,829
138.0,757028,5183.0,797
139.0,757970,5436.0,942
150.0,759025,5726.0,1055
149.0,760180,6002.0,1155
149.0,761313,6177.0,1133
154.0,762523,6401.0,1210
168.0,763595,6752.0,1072
177.0,764606,6973.0,1011
188.0,765882,7455.0,1276
192.0,767320,7822.0,1438
205.0,768774,8120.0,1454
200.0,770346,8587.0,1572
211.0,771942,8928.0,1596
219.0,773268,9389.0,1326
213.0,774642,9632.0,1374
218.0,776437,9956.0,1795
223.0,778348,10658.0,1911
229.0,780274,11049.0,1926
217.0,782219,11465.0,1945
232.0,784186,11878.0,1967
228.0,785882,12283.0,1696
229.0,787483,12440.0,1601
250.0,789372,12879.0,1889
264.0,791377,13336.0,2005
264.0,793322,13621.0,1945
274.0,795268,13741.0,1946
282.0,797107,13807.0,1839
287.0,798594,13975.0,1487
305.0,799967,13701.0,1373
292.0,801661,13840.0,1694
307.0,803415,14044.0,1754
318.0,805249,13837.0,1834
287.0,806964,13545.0,1715
283.0,808514,13375.0,1550
292.0,809745,13182.0,1231
279.0,810884,12475.0,1139
300.0,812191,12591.0,1307
303.0,813536,12529.0,1345
290.0,814854,12113.0,1318
273.0,816051,11914.0,1197
268.0,817216,11437.0,1165
253.0,818212,11149.0,996
241.0,819148,10529.0,936
232.0,820286,10431.0,1138
245.0,821406,10417.0,1120
240.0,822468,10177.0,1062
232.0,823527,9817.0,1059
231.0,824544,9498.0,1017
229.0,825454,9152.0,910
221.0,826229,8806.0,775
217.0,827128,8805.0,899
222.0,828103,8888.0,975
233.0,829076,8624.0,973
216.0,830085,8487.0,1009
206.0,830986,8327.0,901
196.0,831726,8072.0,740
192.0,832488,7993.0,762
191.0,833247,8158.0,759
198.0,834108,8088.0,861
195.0,834926,7832.0,818
207.0,835714,7486.0,788
184.0,836406,7421.0,692
182.0,837054,7045.0,648
166.0,837639,6760.0,585
164.0,838244,6687.0,605
162.0,838914,6803.0,670
135.0,839621,6436.0,707
150.0,840264,6302.0,643
141.0,840910,6249.0,646
135.0,841422,5845.0,512
135.0,841897,5765.0,475
138.0,842436,5717.0,539
144.0,843038,5768.0,602
141.0,843650,5743.0,612
144.0,844230,5658.0,580
152.0,844764,5554.0,534
143.0,845230,5334.0,466
135.0,845669,5183.0,439
120.0,846140,5209.0,471
127.0,846666,5221.0,526
135.0,847203,5060.0,537
117.0,847744,4864.0,541
127.0,848252,4881.0,508
122.0,848674,4797.0,422
129.0,849082,4650.0,408
132.0,849581,4692.0,499
124.0,850100,4666.0,519
148.0,850680,4630.0,580
140.0,851266,4540.0,586
132.0,851819,4571.0,553
122.0,852295,4543.0,476
117.0,852779,4467.0,484
127.0,853334,4556.0,555
123.0,854115,4696.0,781
136.0,854941,4886.0,826
145.0,855799,5142.0,858
152.0,856645,5366.0,846
153.0,857349,5604.0,704
150.0,858076,5773.0,727
160.0,859047,6045.0,971
157.0,860045,6439.0,998
161.0,861090,6758.0,1045
160.0,862224,7024.0,1134
160.0,863382,7281.0,1158
155.0,864252,7672.0,870
161.0,865343,8069.0,1091
172.0,866605,8374.0,1262
189.0,867949,8854.0,1344
192.0,869367,9287.0,1418
195.0,870626,9631.0,1259
192.0,871789,9922.0,1163
199.0,872735,10070.0,946
207.0,873620,10049.0,885
201.0,874872,10181.0,1252
209.0,876147,10397.0,1275
224.0,877354,10522.0,1207
221.0,878504,10608.0,1150
232.0,879751,10524.0,1247
224.0,880729,10420.0,978
221.0,881629,10502.0,900
217.0,882835,10584.0,1206
207.0,883956,10688.0,1121
200.0,885057,10594.0,1101
206.0,886121,10387.0,1064
193.0,887174,10129.0,1053
194.0,888005,9935.0,831
197.0,888790,9777.0,785
195.0,889674,9755.0,884
203.0,890544,9692.0,870
229.0,891407,9373.0,863
222.0,892264,9131.0,857
220.0,893037,8860.0,773
217.0,893595,8663.0,558
214.0,894113,8324.0,518
205.0,894753,8235.0,640
181.0,895383,8019.0,630
182.0,896072,7591.0,689
175.0,896643,7296.0,571
166.0,897211,6969.0,568
161.0,897621,6641.0,410
151.0,898017,6358.0,396
152.0,898517,6234.0,500
154.0,899115,6075.0,598
150.0,899665,5905.0,550
150.0,900200,5647.0,535
149.0,900750,5547.0,550
137.0,901185,5372.0,435
139.0,901555,5258.0,370
139.0,902000,5269.0,445
130.0,902522,5284.0,522
132.0,903016,5165.0,494
