date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,hospitalCases,newAdmissions,population,covidOccupiedMVBeds,cumAdmissions,covidOccupiedMVBeds_lag_1,covidOccupiedMVBeds_lag_2,covidOccupiedMVBeds_lag_3,covidOccupiedMVBeds_lag_5,covidOccupiedMVBeds_lag_7,covidOccupiedMVBeds_lag_14,covidOccupiedMVBeds_lag_21,month,day,day_of_week
2022-01-27,82138.0,257.0,14594056.0,136101.0,18694.0,2118,56171302,629.0,813580,646.0,662.0,690.0,730.0,764.0,852.0,979.0,1,27,3
2022-01-28,71247.0,223.0,14665303.0,136324.0,18429.0,1870,56171302,606.0,815450,629.0,646.0,662.0,699.0,733.0,822.0,931.0,1,28,4
2022-01-29,62658.0,236.0,14727961.0,136560.0,17489.0,1819,56171302,598.0,817269,606.0,629.0,646.0,690.0,730.0,788.0,909.0,1,29,5
2022-01-30,74502.0,217.0,14802463.0,136777.0,17817.0,1804,56171302,595.0,819073,598.0,606.0,629.0,662.0,699.0,804.0,899.0,1,30,6
2022-01-31,87851.0,227.0,14890314.0,137004.0,18227.0,2002,56171302,590.0,821075,595.0,598.0,606.0,646.0,690.0,811.0,903.0,1,31,0
2022-02-01,77842.0,228.0,14968156.0,137232.0,17648.0,2112,56171302,587.0,823187,590.0,595.0,598.0,629.0,662.0,807.0,872.0,2,1,1
2022-02-02,73408.0,225.0,15041564.0,137457.0,17135.0,1989,56171302,565.0,825176,587.0,590.0,595.0,606.0,646.0,780.0,852.0,2,2,2
2022-02-03,63540.0,205.0,15105104.0,137662.0,16983.0,1795,56171302,563.0,826971,565.0,587.0,590.0,598.0,629.0,764.0,852.0,2,3,3
2022-02-04,52110.0,179.0,15157214.0,137841.0,16448.0,1603,56171302,552.0,828574,563.0,565.0,587.0,595.0,606.0,733.0,822.0,2,4,4
2022-02-05,42964.0,194.0,15200178.0,138035.0,15863.0,1449,56171302,534.0,830023,552.0,563.0,565.0,590.0,598.0,730.0,788.0,2,5,5
2022-02-06,49877.0,189.0,15250055.0,138224.0,15687.0,1630,56171302,508.0,831653,534.0,552.0,563.0,587.0,595.0,699.0,804.0,2,6,6
2022-02-07,62281.0,155.0,15312336.0,138379.0,15902.0,1656,56171302,508.0,833309,508.0,534.0,552.0,565.0,590.0,690.0,811.0,2,7,0
2022-02-08,55032.0,165.0,15367368.0,138544.0,15522.0,1725,56171302,492.0,835034,508.0,508.0,534.0,563.0,587.0,662.0,807.0,2,8,1
2022-02-09,50628.0,157.0,15417996.0,138701.0,14967.0,1668,56171302,492.0,836702,492.0,508.0,508.0,552.0,565.0,646.0,780.0,2,9,2
2022-02-10,41027.0,165.0,15459023.0,138866.0,14564.0,1582,56171302,490.0,838284,492.0,492.0,508.0,534.0,563.0,629.0,764.0,2,10,3
2022-02-11,34685.0,147.0,15493708.0,139013.0,14071.0,1325,56171302,478.0,839609,490.0,492.0,492.0,508.0,552.0,606.0,733.0,2,11,4
2022-02-12,28854.0,148.0,15522562.0,139161.0,13546.0,1327,56171302,464.0,840936,478.0,490.0,492.0,508.0,534.0,598.0,730.0,2,12,5
2022-02-13,32123.0,150.0,15554685.0,139311.0,13530.0,1355,56171302,448.0,842291,464.0,478.0,490.0,492.0,508.0,595.0,699.0,2,13,6
2022-02-14,42191.0,169.0,15596876.0,139480.0,13811.0,1488,56171302,463.0,843779,448.0,464.0,478.0,492.0,508.0,590.0,690.0,2,14,0
2022-02-15,39871.0,146.0,15636747.0,139626.0,13383.0,1542,56171302,419.0,845321,463.0,448.0,464.0,490.0,492.0,587.0,662.0,2,15,1
2022-02-16,39184.0,148.0,15675931.0,139774.0,13121.0,1511,56171302,421.0,846832,419.0,463.0,448.0,478.0,492.0,565.0,646.0,2,16,2
2022-02-17,33900.0,144.0,15709831.0,139918.0,12819.0,1310,56171302,386.0,848142,421.0,419.0,463.0,464.0,490.0,563.0,629.0,2,17,3
2022-02-18,24756.0,130.0,15734587.0,140048.0,12435.0,1234,56171302,383.0,849376,386.0,421.0,419.0,448.0,478.0,552.0,606.0,2,18,4
2022-02-19,26236.0,136.0,15760823.0,140184.0,12381.0,1107,56171302,379.0,850483,383.0,386.0,421.0,463.0,464.0,534.0,598.0,2,19,5
2022-02-20,28238.0,141.0,15789061.0,140325.0,12168.0,1271,56171302,388.0,851754,379.0,383.0,386.0,419.0,448.0,508.0,595.0,2,20,6
2022-02-21,32804.0,121.0,15821865.0,140446.0,12353.0,1358,56171302,374.0,853112,388.0,379.0,383.0,421.0,463.0,508.0,590.0,2,21,0
2022-02-22,27782.0,119.0,15849647.0,140565.0,12022.0,1299,56171302,360.0,854411,374.0,388.0,379.0,386.0,419.0,492.0,587.0,2,22,1
2022-02-23,25783.0,119.0,15875430.0,140684.0,11886.0,1291,56171302,355.0,855702,360.0,374.0,388.0,383.0,421.0,492.0,565.0,2,23,2
2022-02-24,21654.0,132.0,15897084.0,140816.0,11595.0,1299,56171302,336.0,857001,355.0,360.0,374.0,379.0,386.0,490.0,563.0,2,24,3
2022-02-25,19315.0,118.0,15916399.0,140934.0,11352.0,1129,56171302,312.0,858130,336.0,355.0,360.0,388.0,383.0,478.0,552.0,2,25,4
2022-02-26,17421.0,115.0,15933820.0,141049.0,11006.0,1188,56171302,287.0,859318,312.0,336.0,355.0,374.0,379.0,464.0,534.0,2,26,5
2022-02-27,22019.0,105.0,15955839.0,141154.0,11160.0,1231,56171302,300.0,860549,287.0,312.0,336.0,360.0,388.0,448.0,508.0,2,27,6
2022-02-28,31591.0,117.0,15987430.0,141271.0,11461.0,1533,56171302,320.0,862082,300.0,287.0,312.0,355.0,374.0,463.0,508.0,2,28,0
2022-03-01,31529.0,111.0,16018959.0,141382.0,11364.0,1438,56171302,306.0,863520,320.0,300.0,287.0,336.0,360.0,419.0,492.0,3,1,1
2022-03-02,33088.0,128.0,16052047.0,141510.0,11226.0,1546,56171302,311.0,865066,306.0,320.0,300.0,312.0,355.0,421.0,492.0,3,2,2
2022-03-03,31263.0,138.0,16083310.0,141648.0,10858.0,1607,56171302,285.0,866673,311.0,306.0,320.0,287.0,336.0,386.0,490.0,3,3,3
2022-03-04,30316.0,106.0,16113626.0,141754.0,11206.0,1362,56171302,293.0,868035,285.0,311.0,306.0,300.0,312.0,383.0,478.0,3,4,4
2022-03-05,28260.0,104.0,16141886.0,141858.0,11225.0,1351,56171302,289.0,869386,293.0,285.0,311.0,320.0,287.0,379.0,464.0,3,5,5
2022-03-06,35676.0,102.0,16177562.0,141960.0,11334.0,1603,56171302,289.0,870989,289.0,293.0,285.0,306.0,300.0,388.0,448.0,3,6,6
2022-03-07,50614.0,113.0,16228176.0,142073.0,11850.0,1645,56171302,296.0,872634,289.0,289.0,293.0,311.0,320.0,374.0,463.0,3,7,0
2022-03-08,51977.0,126.0,16280153.0,142199.0,12168.0,1788,56171302,301.0,874422,296.0,289.0,289.0,285.0,306.0,360.0,419.0,3,8,1
