areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2022-04-08,196,164903
nation,England,E92000001,2022-04-07,188,164707
nation,England,E92000001,2022-04-06,164,164519
nation,England,E92000001,2022-04-05,160,164355
nation,England,E92000001,2022-04-04,143,164195
nation,England,E92000001,2022-04-03,154,164052
nation,England,E92000001,2022-04-02,170,163898
nation,England,E92000001,2022-04-01,162,163728
nation,England,E92000001,2022-03-31,153,163566
nation,England,E92000001,2022-03-30,149,163413
nation,England,E92000001,2022-03-29,155,163264
nation,England,E92000001,2022-03-28,136,163109
nation,England,E92000001,2022-03-27,127,162973
nation,England,E92000001,2022-03-26,129,162846
nation,England,E92000001,2022-03-25,138,162717
nation,England,E92000001,2022-03-24,119,162579
nation,England,E92000001,2022-03-23,122,162460
nation,England,E92000001,2022-03-22,123,162338
nation,England,E92000001,2022-03-21,122,162215
nation,England,E92000001,2022-03-20,128,162093
nation,England,E92000001,2022-03-19,121,161965
nation,England,E92000001,2022-03-18,122,161844
nation,England,E92000001,2022-03-17,105,161722
nation,England,E92000001,2022-03-16,107,161617
nation,England,E92000001,2022-03-15,100,161510
nation,England,E92000001,2022-03-14,115,161410
nation,England,E92000001,2022-03-13,81,161295
nation,England,E92000001,2022-03-12,101,161214
nation,England,E92000001,2022-03-11,97,161113
nation,England,E92000001,2022-03-10,91,161016
nation,England,E92000001,2022-03-09,88,160925
nation,England,E92000001,2022-03-08,100,160837
nation,England,E92000001,2022-03-07,91,160737
nation,England,E92000001,2022-03-06,64,160646
nation,England,E92000001,2022-03-05,81,160582
nation,England,E92000001,2022-03-04,86,160501
nation,England,E92000001,2022-03-03,83,160415
nation,England,E92000001,2022-03-02,108,160332
nation,England,E92000001,2022-03-01,82,160224
nation,England,E92000001,2022-02-28,82,160142
nation,England,E92000001,2022-02-27,92,160060
nation,England,E92000001,2022-02-26,81,159968
nation,England,E92000001,2022-02-25,90,159887
nation,England,E92000001,2022-02-24,95,159797
nation,England,E92000001,2022-02-23,91,159702
nation,England,E92000001,2022-02-22,92,159611
nation,England,E92000001,2022-02-21,94,159519
nation,England,E92000001,2022-02-20,106,159425
nation,England,E92000001,2022-02-19,98,159319
nation,England,E92000001,2022-02-18,102,159221
nation,England,E92000001,2022-02-17,104,159119
nation,England,E92000001,2022-02-16,110,159015
nation,England,E92000001,2022-02-15,103,158905
nation,England,E92000001,2022-02-14,131,158802
nation,England,E92000001,2022-02-13,110,158671
nation,England,E92000001,2022-02-12,127,158561
nation,England,E92000001,2022-02-11,121,158434
nation,England,E92000001,2022-02-10,106,158313
nation,England,E92000001,2022-02-09,118,158207
nation,England,E92000001,2022-02-08,135,158089
nation,England,E92000001,2022-02-07,124,157954
nation,England,E92000001,2022-02-06,132,157830
nation,England,E92000001,2022-02-05,152,157698
nation,England,E92000001,2022-02-04,144,157546
