areaType,areaName,areaCode,date,newAdmissionsWeekly,cumAdmissions
nation,England,E92000001,2022-04-11,,702954
nation,England,E92000001,2022-04-10,,701045
nation,England,E92000001,2022-04-09,,699253
nation,England,E92000001,2022-04-08,14327,697551
nation,England,E92000001,2022-04-07,,695800
nation,England,E92000001,2022-04-06,,693801
nation,England,E92000001,2022-04-05,,691625
nation,England,E92000001,2022-04-04,,689317
nation,England,E92000001,2022-04-03,,687153
nation,England,E92000001,2022-04-02,,685050
nation,England,E92000001,2022-04-01,14730,683224
nation,England,E92000001,2022-03-31,,681378
nation,England,E92000001,2022-03-30,,679254
nation,England,E92000001,2022-03-29,,676899
nation,England,E92000001,2022-03-28,,674680
nation,England,E92000001,2022-03-27,,672400
nation,England,E92000001,2022-03-26,,670363
nation,England,E92000001,2022-03-25,13756,668494
nation,England,E92000001,2022-03-24,,666569
nation,England,E92000001,2022-03-23,,664563
nation,England,E92000001,2022-03-22,,662426
nation,England,E92000001,2022-03-21,,660328
nation,England,E92000001,2022-03-20,,658344
nation,England,E92000001,2022-03-19,,656551
nation,England,E92000001,2022-03-18,11600,654738
nation,England,E92000001,2022-03-17,,653109
nation,England,E92000001,2022-03-16,,651371
nation,England,E92000001,2022-03-15,,649548
nation,England,E92000001,2022-03-14,,647748
nation,England,E92000001,2022-03-13,,646097
nation,England,E92000001,2022-03-12,,644506
nation,England,E92000001,2022-03-11,9324,643138
nation,England,E92000001,2022-03-10,,641726
nation,England,E92000001,2022-03-09,,640312
nation,England,E92000001,2022-03-08,,638791
nation,England,E92000001,2022-03-07,,637402
nation,England,E92000001,2022-03-06,,636124
nation,England,E92000001,2022-03-05,,634864
nation,England,E92000001,2022-03-04,7547,633814
nation,England,E92000001,2022-03-03,,632770
nation,England,E92000001,2022-03-02,,631544
nation,England,E92000001,2022-03-01,,630360
nation,England,E92000001,2022-02-28,,629249
nation,England,E92000001,2022-02-27,,628104
nation,England,E92000001,2022-02-26,,627155
nation,England,E92000001,2022-02-25,6612,626267
nation,England,E92000001,2022-02-24,,625426
nation,England,E92000001,2022-02-23,,624442
nation,England,E92000001,2022-02-22,,623466
nation,England,E92000001,2022-02-21,,622490
nation,England,E92000001,2022-02-20,,621460
nation,England,E92000001,2022-02-19,,620489
nation,England,E92000001,2022-02-18,7285,619655
nation,England,E92000001,2022-02-17,,618755
nation,England,E92000001,2022-02-16,,617784
nation,England,E92000001,2022-02-15,,616664
nation,England,E92000001,2022-02-14,,615520
nation,England,E92000001,2022-02-13,,614388
nation,England,E92000001,2022-02-12,,613359
nation,England,E92000001,2022-02-11,8171,612370
nation,England,E92000001,2022-02-10,,611374
nation,England,E92000001,2022-02-09,,610207
nation,England,E92000001,2022-02-08,,608987
nation,England,E92000001,2022-02-07,,607721
nation,England,E92000001,2022-02-06,,606487
nation,England,E92000001,2022-02-05,,605276
nation,England,E92000001,2022-02-04,9527,604199
nation,England,E92000001,2022-02-03,,603013
nation,England,E92000001,2022-02-02,,601721
nation,England,E92000001,2022-02-01,,600270
nation,England,E92000001,2022-01-31,,598733
nation,England,E92000001,2022-01-30,,597282
nation,England,E92000001,2022-01-29,,595997
nation,England,E92000001,2022-01-28,10620,594672
nation,England,E92000001,2022-01-27,,593330
nation,England,E92000001,2022-01-26,,591827
nation,England,E92000001,2022-01-25,,590138
nation,England,E92000001,2022-01-24,,588457
nation,England,E92000001,2022-01-23,,586864
nation,England,E92000001,2022-01-22,,585329
nation,England,E92000001,2022-01-21,11903,584052
nation,England,E92000001,2022-01-20,,582599
nation,England,E92000001,2022-01-19,,580901
nation,England,E92000001,2022-01-18,,579123
nation,England,E92000001,2022-01-17,,577329
nation,England,E92000001,2022-01-16,,575521
nation,England,E92000001,2022-01-15,,573753
nation,England,E92000001,2022-01-14,13707,572149
nation,England,E92000001,2022-01-13,,570457
nation,England,E92000001,2022-01-12,,568541
nation,England,E92000001,2022-01-11,,566586
nation,England,E92000001,2022-01-10,,564459
nation,England,E92000001,2022-01-09,,562279
nation,England,E92000001,2022-01-08,,560304
nation,England,E92000001,2022-01-07,13974,558442
nation,England,E92000001,2022-01-06,,556670
nation,England,E92000001,2022-01-05,,554627
nation,England,E92000001,2022-01-04,,552488
nation,England,E92000001,2022-01-03,,550387
nation,England,E92000001,2022-01-02,,548168
nation,England,E92000001,2022-01-01,,546287
nation,England,E92000001,2021-12-31,12753,544468
nation,England,E92000001,2021-12-30,,542687
nation,England,E92000001,2021-12-29,,540573
nation,England,E92000001,2021-12-28,,538203
nation,England,E92000001,2021-12-27,,536121
nation,England,E92000001,2021-12-26,,534370
nation,England,E92000001,2021-12-25,,532996
nation,England,E92000001,2021-12-24,7338,531715
nation,England,E92000001,2021-12-23,,530695
nation,England,E92000001,2021-12-22,,529443
nation,England,E92000001,2021-12-21,,528197
nation,England,E92000001,2021-12-20,,527099
nation,England,E92000001,2021-12-19,,526038
