,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,region,epi_week
280,2020-10-07 00:00:00,1490.0,11.0,38442.0,2266.0,2656980,151164,55.0,-1.866667,North East England,202041
281,2020-10-08 00:00:00,1391.0,13.0,39833.0,2279.0,2656980,151164,55.0,-1.866667,North East England,202041
282,2020-10-09 00:00:00,1187.0,8.0,41020.0,2287.0,2656980,151164,55.0,-1.866667,North East England,202041
283,2020-10-10 00:00:00,850.0,16.0,41870.0,2303.0,2656980,151164,55.0,-1.866667,North East England,202041
284,2020-10-11 00:00:00,944.0,14.0,42814.0,2317.0,2656980,151164,55.0,-1.866667,North East England,202042
285,2020-10-12 00:00:00,1400.0,11.0,44214.0,2328.0,2656980,151164,55.0,-1.866667,North East England,202042
286,2020-10-13 00:00:00,1315.0,13.0,45529.0,2341.0,2656980,151164,55.0,-1.866667,North East England,202042
287,2020-10-14 00:00:00,1411.0,16.0,46940.0,2357.0,2656980,151164,55.0,-1.866667,North East England,202042
288,2020-10-15 00:00:00,1177.0,16.0,48117.0,2373.0,2656980,151164,55.0,-1.866667,North East England,202042
289,2020-10-16 00:00:00,1088.0,15.0,49205.0,2388.0,2656980,151164,55.0,-1.866667,North East England,202042
290,2020-10-17 00:00:00,813.0,18.0,50018.0,2406.0,2656980,151164,55.0,-1.866667,North East England,202042
291,2020-10-18 00:00:00,836.0,15.0,50854.0,2421.0,2656980,151164,55.0,-1.866667,North East England,202043
292,2020-10-19 00:00:00,1420.0,22.0,52274.0,2443.0,2656980,151164,55.0,-1.866667,North East England,202043
293,2020-10-20 00:00:00,1456.0,19.0,53730.0,2462.0,2656980,151164,55.0,-1.866667,North East England,202043
294,2020-10-21 00:00:00,1514.0,19.0,55244.0,2481.0,2656980,151164,55.0,-1.866667,North East England,202043
295,2020-10-22 00:00:00,1238.0,22.0,56482.0,2503.0,2656980,151164,55.0,-1.866667,North East England,202043
296,2020-10-23 00:00:00,1049.0,13.0,57531.0,2516.0,2656980,151164,55.0,-1.866667,North East England,202043
297,2020-10-24 00:00:00,869.0,14.0,58400.0,2530.0,2656980,151164,55.0,-1.866667,North East England,202043
298,2020-10-25 00:00:00,860.0,16.0,59260.0,2546.0,2656980,151164,55.0,-1.866667,North East England,202044
299,2020-10-26 00:00:00,1329.0,21.0,60589.0,2567.0,2656980,151164,55.0,-1.866667,North East England,202044
300,2020-10-27 00:00:00,1195.0,19.0,61784.0,2586.0,2656980,151164,55.0,-1.866667,North East England,202044
301,2020-10-28 00:00:00,1186.0,27.0,62970.0,2613.0,2656980,151164,55.0,-1.866667,North East England,202044
302,2020-10-29 00:00:00,1138.0,16.0,64108.0,2629.0,2656980,151164,55.0,-1.866667,North East England,202044
303,2020-10-30 00:00:00,1222.0,26.0,65330.0,2655.0,2656980,151164,55.0,-1.866667,North East England,202044
304,2020-10-31 00:00:00,887.0,18.0,66217.0,2673.0,2656980,151164,55.0,-1.866667,North East England,202044
305,2020-11-01 00:00:00,1008.0,25.0,67225.0,2698.0,2656980,151164,55.0,-1.866667,North East England,202045
306,2020-11-02 00:00:00,1689.0,19.0,68914.0,2717.0,2656980,151164,55.0,-1.866667,North East England,202045
307,2020-11-03 00:00:00,1527.0,17.0,70441.0,2734.0,2656980,151164,55.0,-1.866667,North East England,202045
308,2020-11-04 00:00:00,1429.0,20.0,71870.0,2754.0,2656980,151164,55.0,-1.866667,North East England,202045
309,2020-11-05 00:00:00,1500.0,23.0,73370.0,2777.0,2656980,151164,55.0,-1.866667,North East England,202045
310,2020-11-06 00:00:00,1483.0,26.0,74853.0,2803.0,2656980,151164,55.0,-1.866667,North East England,202045
311,2020-11-07 00:00:00,1358.0,25.0,76211.0,2828.0,2656980,151164,55.0,-1.866667,North East England,202045
312,2020-11-08 00:00:00,1318.0,20.0,77529.0,2848.0,2656980,151164,55.0,-1.866667,North East England,202046
313,2020-11-09 00:00:00,2083.0,30.0,79612.0,2878.0,2656980,151164,55.0,-1.866667,North East England,202046
314,2020-11-10 00:00:00,1798.0,23.0,81410.0,2901.0,2656980,151164,55.0,-1.866667,North East England,202046
315,2020-11-11 00:00:00,1884.0,21.0,83294.0,2922.0,2656980,151164,55.0,-1.866667,North East England,202046
316,2020-11-12 00:00:00,1556.0,22.0,84850.0,2944.0,2656980,151164,55.0,-1.866667,North East England,202046
317,2020-11-13 00:00:00,1546.0,28.0,86396.0,2972.0,2656980,151164,55.0,-1.866667,North East England,202046
318,2020-11-14 00:00:00,1071.0,32.0,87467.0,3004.0,2656980,151164,55.0,-1.866667,North East England,202046
319,2020-11-15 00:00:00,1060.0,32.0,88527.0,3036.0,2656980,151164,55.0,-1.866667,North East England,202047
320,2020-11-16 00:00:00,1587.0,26.0,90114.0,3062.0,2656980,151164,55.0,-1.866667,North East England,202047
321,2020-11-17 00:00:00,1494.0,32.0,91608.0,3094.0,2656980,151164,55.0,-1.866667,North East England,202047
322,2020-11-18 00:00:00,1367.0,29.0,92975.0,3123.0,2656980,151164,55.0,-1.866667,North East England,202047
323,2020-11-19 00:00:00,1037.0,31.0,94012.0,3154.0,2656980,151164,55.0,-1.866667,North East England,202047
324,2020-11-20 00:00:00,957.0,37.0,94969.0,3191.0,2656980,151164,55.0,-1.866667,North East England,202047
325,2020-11-21 00:00:00,687.0,31.0,95656.0,3222.0,2656980,151164,55.0,-1.866667,North East England,202047
326,2020-11-22 00:00:00,636.0,28.0,96292.0,3250.0,2656980,151164,55.0,-1.866667,North East England,202048
